"fips_code","popsize"
"16037",4169
"16039",26743
"16041",13464
"16043",13020
"16045",17331
"16047",15148
"16049",16411
"16051",28534
"16053",23730
"16055",157322
"16057",39505
"16059",7847
"16061",3838
"16063",5350
"16065",39100
"16067",20705
"16069",40217
"16071",4385
"16073",11552
"16075",23260
"16077",7671
"16079",12609
"16081",11426
"16083",84869
"16085",10709
"16087",10057
"17001",66085
"17003",6260
"17005",16589
"17007",53537
"17009",6628
"17011",33122
"17013",4830
"17015",14466
"17017",12493
"17019",209922
"17021",32931
"17023",15716
"17025",13287
"17027",37634
"17029",51353
"17031",5198275
"17033",18972
"17035",10836
"17037",104366
"17039",15932
"17041",19623
"17043",929060
"17045",17407
"17047",6455
"17049",34137
"17051",21565
"17053",13270
"17055",38923
"17057",35092
"17059",5064
"17061",13132
"17063",50666
"17065",8176
"17067",17983
"17069",3939
"17071",6809
"17073",49267
"17075",27812
"17077",57977
"17079",9594
"17081",37985
"17083",21937
"17085",21588
"17087",12494
"17089",531376
"17091",110637
"17093",126054
"17095",50508
"17097",701473
"17099",109737
"17101",16033
"17103",34389
"17105",36040
"17107",29003
"17109",30479
"17111",307714
"17113",172578
"17115",105528
"17117",45463
"17119",264776
"17121",37743
"17123",11679
"17125",13621
"17127",14219
"17129",12306
"17131",15589
"17133",34168
"17135",28828
"17137",34247
"17139",14641
"17141",51025
"17143",182770
"17145",21251
"17147",16401
"17149",15672
"17151",4203
"17153",5510
"17155",5721
"17157",32295
"17159",15766
"17161",143873
"17163",262338
"17165",23994
"17167",196861
"17169",6953
"17171",5005
"17173",21737
"17175",5447
"17177",45093
"17179",133195
"17181",16968
"17183",77563
"17185",11546
"17187",17146
"17189",14058
"17191",16402
"17193",13868
"17195",56016
"17197",689315
"17199",67102
"17201",284819
"17203",38700
"18001",35376
"18003",372575
"18005",82481
"18007",8677
"18009",12013
"18011",65544
"18013",15064
"18015",20074
"18017",37880
"18019",116507
"18021",26234
"18023",32273
"18025",10569
"18027",33120
"18029",49479
"18031",26562
"18033",42927
"18035",115020
"18037",42543
"18039",204558
"18041",23194
"18043",77320
"18045",16430
"18047",22774
"18049",20096
"18051",33656
"18053",66452
"18055",32159
"18057",323117
"18059",75164
"18061",39940
"18063",163799
"18065",48255
"18067",82331
"18069",36359
"18071",44025
"18073",33447
"18075",20840
"18077",32201
"18079",27710
"18081",153716
"18083",37065
"18085",79035
"18087",39193
"18089",485707
"18091",110154
"18093",45548
"18095",129455
