"CityTown","StateTerritory","lat","lon","locality","state","county","Location"
"Auburn","CA","38.896565","-121.07689","Auburn","CA","Placer County","Auburn, CA"
"Auburn","IN","41.366994","-85.058858","Auburn","IN","DeKalb County","Auburn, IN"
"Auburn","ME","44.097851","-70.231166","Auburn","ME","Androscoggin County","Auburn, ME"
"Auburn","MI","43.603358","-84.069705","Auburn","MI","Bay County","Auburn, MI"
"Auburn","NE","40.394724","-95.832219","Auburn","NE","Nemaha County","Auburn, NE"
"Auburn","NY","42.931734","-76.566053","Auburn","NY","Cayuga County","Auburn, NY"
"Auburn","WA","47.307323","-122.228453","Auburn","WA","King County","Auburn, WA"
"Auburndale","FL","28.065298","-81.788691","Auburndale","FL","Polk County","Auburndale, FL"
"Audobon","NJ","39.890947","-75.07295","Audubon","NJ","Camden County","Audobon, NJ"
"Augusta","GA","33.473498","-82.010515","Augusta","GA","Richmond County","Augusta, GA"
"Augusta","KS","37.686684","-96.976702","Augusta","KS","Butler County","Augusta, KS"
"Augusta","MA","33.462648","-82.079204","Augusta","GA","Richmond County","Augusta, MA"
"Augusta","ME","44.310624","-69.77949","Augusta","ME","Kennebec County","Augusta, ME"
"Augusta","MI","42.336429","-85.352222","Augusta","MI","Kalamazoo County","Augusta, MI"
"Augusta","NJ","41.144652","-74.706131","Frankford","NJ","Sussex County","Augusta, NJ"
"Aurora","CO","39.729432","-104.83192","Aurora","CO","Arapahoe County","Aurora, CO"
"Aurora","IL","41.760585","-88.320072","Aurora","IL","Kane County","Aurora, IL"
"Aurora","NY","42.753959","-76.702449","Aurora","NY","Cayuga County","Aurora, NY"
"Austin","AL","34.579476","-87.007591","Decatur","AL","Morgan County","Austin, AL"
"Austin","MN","43.66663","-92.974637","Austin","MN","Mower County","Austin, MN"
"Austin","TX","30.267153","-97.743061","Austin","TX","Travis County","Austin, TX"
"Austintown","OH","41.101725","-80.764524","Austintown","OH","Mahoning County","Austintown, OH"
"Automba","MN","46.520779","-93.018546","Automba","MN","Carlton County","Automba, MN"
"Avalon (Catalina Island)","CA","33.342819","-118.328228","Avalon","CA","Los Angeles County","Avalon (Catalina Island), CA"
"Avalon","CA","33.342819","-118.328228","Avalon","CA","Los Angeles County","Avalon, CA"
"Avenel","NJ","40.580382","-74.285147","Woodbridge Township","NJ","Middlesex County","Avenel, NJ"
"Averill Park","NY","42.633968","-73.553726","Averill Park","NY","Rensselaer County","Averill Park, NY"
"Avila Beach","CA","35.180011","-120.731913","Avila Beach","CA","San Luis Obispo County","Avila Beach, CA"
"Avon Lake","OH","41.505318","-82.0282","Avon Lake","OH","Lorain County","Avon Lake, OH"
"Avon","CO","39.633067","-106.52222","Avon","CO","Eagle County","Avon, CO"
"Avon","CT","41.80962","-72.830515","Avon","CT","Hartford County","Avon, CT"
"Avon","OH","41.451709","-82.035423","Avon","OH","Lorain County","Avon, OH"
"Avondale","AZ","33.435598","-112.349602","Avondale","AZ","Maricopa County","Avondale, AZ"
"Ayer","MA","42.561195","-71.589905","Ayer","MA","Middlesex County","Ayer, MA"
"Aztec","NM","36.822226","-107.992846","Aztec","NM","San Juan County","Aztec, NM"
"Azusa","CA","34.133619","-117.907563","Azusa","CA","Los Angeles County","Azusa, CA"
"Babylon","NY","40.695655","-73.325675","Babylon","NY","Suffolk County","Babylon, NY"
"Bad Axe","MI","43.801959","-83.000777","Bad Axe","MI","Huron County","Bad Axe, MI"
"Bad River","WI","46.428267","-90.775592",NA,"WI","Ashland County","Bad River, WI"
"Bailey","CO","39.406054","-105.478641","Bailey","CO","Park County","Bailey, CO"
"Bainbridge Island","WA","47.624879","-122.521001","Bainbridge Island","WA","Kitsap County","Bainbridge Island, WA"
"Bainbridge","GA","30.9038","-84.57547","Bainbridge","GA","Decatur County","Bainbridge, GA"
"Bakersfield","CA","35.373292","-119.018713","Bakersfield","CA","Kern County","Bakersfield, CA"
"Bakersville","NC","36.015673","-82.158735","Bakersville","NC","Mitchell County","Bakersville, NC"
"Bala Cynwyd","PA","40.013142","-75.230404","Bala Cynwyd","PA","Montgomery County","Bala Cynwyd, PA"
"Bald Head Island","NC","33.873707","-78.001531","Bald Head Island","NC","Brunswick County","Bald Head Island, NC"
"Baldwin Park","CA","34.085287","-117.960898","Baldwin Park","CA","Los Angeles County","Baldwin Park, CA"
"Baldwin","NY","40.668634","-73.611913","Baldwin","NY","Nassau County","Baldwin, NY"
"Baldwin","WI","44.966632","-92.374358","Baldwin","WI","St. Croix County","Baldwin, WI"
"Baldwinsville","NY","43.158679","-76.332709","Baldwinsville","NY","Onondaga County","Baldwinsville, NY"
"Ballston Spa","NY","43.000909","-73.849011","Ballston Spa","NY","Saratoga County","Ballston Spa, NY"
"Ballwin","MO","38.595053","-90.546234","Ballwin","MO","St. Louis County","Ballwin, MO"
"Bally","PA","40.402319","-75.587129","Bally","PA","Berks County","Bally, PA"
"Baltimore","MD","39.290385","-76.612189","Baltimore","MD",NA,"Baltimore, MD"
